ECG,Temperature,Stress Level
235,36.4,High
524,37.9,High
375,36.4,Low
448,35.7,Low
954,36.8,High
669,36.1,Medium
485,36.6,Medium
388,40.4,Low
589,38.6,High
256,37.5,Medium
977,35.1,Low
623,36.8,Medium
652,37.9,High
486,35.9,High
666,35.4,High
358,37.1,High
524,38.8,Low
614,38.5,Low
287,38.0,Medium
831,35.5,High
746,37.5,High
447,36.2,Low
682,35.2,High
323,39.9,High
417,40.3,Medium
390,35.6,High
714,39.9,Low
849,38.6,High
817,37.2,Medium
295,36.3,Medium
332,35.8,Low
653,40.4,High
572,39.1,High
962,39.3,Low
629,39.3,High
655,37.2,High
601,39.9,Low
831,36.1,Low
219,36.3,High
548,37.7,Medium
999,39.8,High
804,39.2,Low
950,40.5,Low
980,37.2,Medium
883,39.4,High
847,37.1,High
523,38.9,Medium
675,37.2,Medium
497,35.3,Medium
852,39.2,Low
989,37.4,Medium
381,39.6,Medium
271,35.5,Medium
937,39.3,Low
315,40.6,Low
240,39.5,Medium
217,37.1,Medium
479,38.5,Medium
286,39.9,Medium
918,38.6,Medium
720,38.8,Low
515,35.7,Low
919,39.9,Medium
474,37.6,Medium
922,39.7,High
367,35.3,Low
397,36.1,Low
215,38.1,High
253,39.9,Low
915,37.6,High
612,38.5,Medium
546,38.2,Medium
353,37.1,High
430,37.0,High
425,39.6,High
209,40.2,Medium
658,37.7,Low
202,37.8,High
798,36.2,Low
358,36.9,Medium
914,38.4,Low
229,36.2,Medium
984,37.4,Low
288,39.4,High
233,38.7,Medium
830,40.4,High
355,35.3,Medium
789,38.1,Low
647,38.7,Medium
334,37.1,Medium
641,38.6,Medium
443,36.2,High
458,35.9,Medium
302,36.8,Low
316,38.6,High
592,39.3,Low
811,39.6,High
605,36.4,High
816,38.9,Medium
532,37.0,High
563,38.5,Low
754,38.1,Low
592,39.4,Low
224,37.9,High
701,37.7,Low
807,38.2,Medium
865,39.6,Medium
337,35.1,Low
663,38.6,Low
789,37.3,Medium
636,38.4,High
996,35.1,Low
955,36.2,Medium
599,40.4,Low
942,35.2,Medium
728,38.6,Medium
482,35.2,High
552,35.4,Low
986,35.7,Low
498,39.9,Medium
239,39.6,Low
463,37.8,Medium
208,39.6,Low
735,39.8,Medium
789,40.2,Medium
927,35.4,Medium
546,35.8,Low
982,36.3,High
955,39.4,Medium
858,38.7,High
322,36.6,Low
365,35.3,Low
516,38.6,Medium
517,35.3,Medium
265,37.7,High
894,38.5,Low
429,39.7,Medium
460,36.0,Low
304,35.9,Low
853,37.9,Medium
663,39.1,Low
760,35.7,High
459,36.4,Medium
361,37.2,Medium
816,38.2,High
236,39.1,Medium
490,36.0,Low
802,36.9,Medium
318,35.9,Medium
712,36.9,Medium
543,37.2,Medium
559,39.8,Low
973,38.7,Medium
647,35.3,Medium
553,40.4,Medium
250,39.6,Medium
336,35.3,High
361,37.8,High
715,35.3,Medium
596,35.6,High
678,38.6,High
960,36.3,Medium
278,35.4,High
834,37.0,Medium
541,35.3,Medium
917,40.1,Low
706,35.7,Low
365,39.6,Low
592,38.4,High
565,36.7,Medium
487,35.1,Low
813,37.7,Low
603,38.1,Low
252,37.1,High
742,36.8,Low
809,37.8,Low
995,36.5,Medium
911,39.8,Low
346,38.1,Low
305,35.5,Medium
971,38.1,High
204,35.5,Medium
648,39.6,High
969,38.8,High
743,36.6,Medium
964,36.7,Medium
498,37.2,Low
879,38.1,Medium
270,37.2,Medium
427,38.6,High
258,35.8,Medium
593,40.0,Medium
545,36.9,Medium
232,39.6,Medium
579,38.8,Medium
349,36.3,Medium
271,36.4,High
735,35.4,High
