ECG,Temperature,Stress Level
202,38.536912897901566,High
535,38.0823089363457,Medium
960,35.50556717250739,Low
370,39.03553907027905,Medium
206,38.041368371661726,High
171,37.505058041200584,Medium
800,40.05817376890707,Low
120,36.655330286344174,High
714,37.908901533416724,Medium
221,38.87578817496369,Low
566,39.424843198188206,High
314,37.55192671081207,Low
430,39.67828563899283,High
558,39.27176522952998,Medium
187,35.367977654732584,Low
472,35.254784813359066,High
199,38.44892046901162,Low
971,36.93007449014119,Low
763,36.16183772821397,Medium
230,38.220277413731885,Low
761,36.897573391425254,High
408,37.98479675952261,High
869,37.55621754990873,High
443,38.24870058860641,High
591,37.22389160505712,Medium
513,38.87593096498295,Low
905,36.00037373527388,Medium
485,38.86945259015044,Low
291,37.287006746430706,Low
376,39.857320026968985,Low
260,37.86242252702339,Medium
559,40.40616860705613,Low
413,38.34408553078311,Medium
121,36.24360592170178,High
352,39.565503538024714,High
847,36.917125710124374,Low
956,36.93121785823713,Medium
660,35.17669267491758,High
574,38.0484183844856,Medium
158,37.969019465180686,Medium
610,36.977730468177704,Low
781,39.96787368275514,High
575,35.71526887944246,Low
799,36.833886185056414,Low
882,36.78657091488905,High
289,35.51272547904859,High
786,37.673029966979406,Medium
662,38.82102620608935,High
975,37.84253896415145,Medium
666,35.87209823731219,Medium
343,37.096033140233736,Medium
931,35.014416802131365,High
604,39.82389503908659,Low
230,35.46953893155935,Medium
584,38.31821156808573,Low
918,40.47920553259341,Low
746,37.98105914437407,High
120,40.13356532837463,Low
940,36.311758517318914,Low
266,39.221974494097694,High
373,37.951476410964084,Medium
487,39.00286700773036,Low
700,35.34634090284024,High
415,35.82077273281237,Low
113,35.73953849215266,Low
341,38.817586141129624,Medium
876,39.691337070186826,Low
445,39.16453462226993,High
664,35.16928973740885,Low
997,39.817861005970684,Medium
439,36.96748150440625,Medium
191,37.206465736133794,High
466,35.582606480736004,Medium
554,39.09669558941011,Low
527,36.012688213755325,Medium
608,38.133139400104646,High
875,39.67061103265517,Medium
134,35.49557960395586,Medium
305,37.9740864667529,Medium
180,36.29564673083223,High
661,36.90514924599034,Medium
971,37.63316634128087,Medium
487,36.97280168488502,Low
101,38.6045713349532,High
489,37.66434500974584,Medium
665,38.24555269285649,High
205,39.09345819663841,Medium
871,38.09856814416909,Medium
921,38.258530192559775,Medium
576,38.13588079179245,Low
802,37.10429236639605,Low
501,36.874704632621764,Low
829,39.99804109525006,High
655,38.37530679051984,High
261,36.35751753035919,Low
301,37.768042765827445,High
369,36.83526934044952,Medium
962,40.18717679866597,Medium
915,35.041857572967075,Medium
370,36.251848876180716,Low
555,37.02976010930033,High
561,37.71005444893743,Low
826,39.726763987978586,High
351,35.488264580778576,Medium
801,39.47702714856191,Low
395,35.30918605198319,High
824,39.67952241832323,High
819,35.286863765969514,Medium
848,35.101347119046444,Low
437,38.872008124257896,Low
978,40.54030852649108,Low
152,39.981168127633445,Medium
891,38.19999121003144,Low
316,40.096642294919626,Medium
863,35.0294444799867,Medium
287,40.41703979413968,Medium
479,37.72638210699325,High
592,39.01608942567653,Low
140,39.56034151751863,Low
256,38.991429282425294,Medium
114,37.97242628913839,Medium
912,37.64788602292451,Low
164,39.65879199279236,Medium
956,36.139319778608105,Low
938,40.377744813912415,High
620,38.94973599353749,Medium
443,36.10837181854622,Low
228,39.090262131658264,Medium
747,37.94355568433954,Low
571,38.92905608691358,Low
162,39.265441674682435,Medium
238,35.48494544216486,High
598,37.811688646440814,Low
692,40.17785745698297,Low
491,36.7813455119973,Low
774,38.299350541988325,High
518,37.051280452832756,High
388,37.523710956772774,Medium
478,38.047795099656405,High
872,38.049566554938764,Medium
589,36.12072479072353,Medium
330,38.803175265999066,High
140,35.48815617357031,Medium
127,35.77124874134456,High
234,35.01506055230183,Medium
300,35.64831146745379,High
939,37.62870111695495,High
879,38.36723267253243,Medium
132,39.41271916648034,Low
147,35.59277361174131,Medium
602,39.726263666758086,High
506,39.1443029197151,Low
673,37.2695460718662,Medium
827,40.18298926166641,Medium
904,40.505163758096614,Medium
198,36.138898944740205,Low
783,37.106825472021114,High
971,40.14694124216506,Medium
825,39.00886972639599,Medium
646,35.26719246646715,Medium
838,39.34174712084119,Medium
712,39.599671595430515,Medium
561,39.169455137585075,High
742,39.44187294955286,High
868,39.584070426071094,Medium
104,36.03558325993414,Low
317,36.309398589249994,High
602,38.52088090955654,Low
866,40.043700724791755,High
497,36.756647679424965,Medium
970,38.26837042108365,High
894,38.79434479676185,Medium
492,37.510825562772446,High
306,38.96545808252958,Medium
114,39.99815247384541,Medium
957,38.46723080101021,Medium
653,37.998783677303514,Medium
991,37.43747041882411,Low
560,38.20825706058959,Medium
790,36.97423584343554,Low
674,37.17490061223057,Low
963,37.95476377604541,Medium
842,35.370106179948976,Low
340,36.272363282915535,High
663,38.01582950340782,Medium
195,37.39737857298024,Low
999,36.84897658840269,Medium
833,39.058606315607236,Medium
584,38.85398670779633,Medium
506,35.926281999963244,Low
330,39.88127286318577,High
848,37.75235348002203,High
754,39.11922728410581,Low
270,38.18417138476327,Medium
640,40.54273675513246,Low
135,39.18001733354901,Low
624,38.92766922913033,Low
259,39.32539966139306,Medium
938,35.795155475269276,Low
798,36.13635885094146,Medium
342,38.967022679020076,Low
185,37.744341595171456,High
895,39.19241828811177,Low
677,35.57175572635636,Low
781,37.98045195269219,High
656,37.104564253093976,Medium
673,37.53889010712044,Medium
745,38.35532151151396,Low
895,37.79049081923628,High
127,37.99922576173798,Medium
719,37.70198601108671,Low
655,37.27197320603052,High
439,39.2882332255458,Medium
897,35.067794846211356,Medium
430,38.32468167336237,High
739,38.141713040683186,High
605,38.978772637405285,High
447,38.32794091542959,High
572,39.59332682116155,Low
330,40.32819330313348,High
289,36.902912539880795,Medium
324,36.26306101683326,Medium
484,37.353315902336014,Low
476,36.5996089804207,Medium
382,38.41639035084808,Medium
732,40.06584671579425,High
727,35.77286774523923,Medium
844,35.559970016754924,Low
358,36.422308510298116,High
458,39.03386436701334,High
809,38.29423836254901,Low
555,35.56784813458444,High
510,40.10416956811526,High
748,39.38935909513381,Low
417,35.12790335993132,High
776,38.61870672771248,Low
324,39.284703713998546,Low
918,37.08019649844679,Medium
333,35.382897440928986,Medium
783,35.42956147493771,High
763,35.57914981139894,High
926,39.66910906655791,Low
473,40.0593677680873,High
771,35.68228212136518,Low
707,36.31058908108378,Low
571,35.91955839092938,High
332,36.03511599718956,Low
791,39.652726605569406,Medium
212,36.84525784808299,High
929,36.730245911364676,Medium
596,36.263309004872845,High
541,38.37719107663477,Low
663,37.10725387991972,High
367,39.13472028801827,Medium
609,36.142110046531315,Low
906,39.37661049285829,High
485,38.35400850961188,High
486,35.63481833364271,High
212,37.30280324557571,Medium
712,39.79732300340532,Medium
724,40.12755684332491,High
180,37.587222901771185,Low
798,37.671316544939295,Low
212,40.10252624966278,Medium
101,38.26149013409204,Low
741,35.18248150135244,Medium
319,40.07083034932849,High
665,36.37903579309529,Medium
954,38.2090664116197,Medium
835,35.919518430155414,High
324,35.18821755692553,Low
484,36.7304065062931,Medium
502,39.336087264144936,Medium
737,36.54215095905233,High
229,36.22276230045054,Low
152,36.181559913006815,Medium
783,37.86207601337118,High
829,40.41967397601531,Medium
771,37.54993882231674,High
809,38.09614093827804,Low
515,39.78128898828186,Low
346,37.972609549631436,Low
935,36.024793730104754,Low
538,36.66442173203598,Medium
302,36.72187181260339,Medium
283,37.207322863653324,Low
222,37.371049474093056,Low
500,39.44323345596817,Low
866,36.9410388836074,Medium
393,37.60128793578544,Low
379,38.47208881695029,Low
936,37.098477485778716,Low
983,39.647582296068514,High
709,38.26363113463375,Low
297,36.63358155122762,High
610,38.966995554387935,High
851,37.93137627858214,Low
243,37.96919939587359,High
708,37.67271082437548,Low
300,37.761177493451385,Medium
223,39.25197933925689,Medium
286,35.57211932961842,Medium
425,36.85757117394713,Medium
563,35.41946313224383,High
448,39.18470122637473,Low
870,36.51278808177944,Low
759,39.9857244989938,Low
863,37.92543592588496,Medium
502,39.44860984158956,Medium
445,40.43850797564423,Low
610,39.66549366364761,Medium
246,39.81663200006402,Low
247,37.26658052980469,Low
963,38.06512552921855,Low
810,36.4104920224628,Low
919,36.089517220519184,Low
588,37.80837710614463,Low
739,38.30582766500234,Low
650,36.88484025497884,Medium
437,38.16357509868611,Low
971,39.93033601396391,Low
740,38.09289769324093,Medium
878,39.00451720172504,Medium
572,39.47397204087726,Medium
250,40.49293767753024,Low
514,38.351096678760996,High
397,39.48250082756992,High
710,40.348051769749304,Medium
362,40.24672069765151,High
863,35.783788048765075,Medium
243,37.257735045964004,Low
445,36.79994478392666,High
723,35.48291674972417,Low
671,38.51800430506089,High
980,39.08835896220002,Low
101,39.7118227525938,High
996,35.68209383145949,Low
403,39.869133754862744,Low
353,38.571808686745854,High
751,38.91081186188061,Low
552,40.059022241890574,Low
136,38.47089595024028,Low
259,36.8659214286102,High
108,39.583929619014775,High
332,37.016995623306066,Low
198,35.190156171225155,Low
758,39.61474725869583,High
915,36.91773413822931,High
307,39.29908068445189,Low
230,37.01532163703303,Low
503,39.78371122208179,Low
251,36.21950291711644,Medium
153,40.41415147332706,High
219,39.33199319326684,Medium
772,35.6346551440022,High
727,38.14320344425867,High
686,40.47426284578742,High
724,37.61703029274341,High
519,36.01170632678657,High
521,37.693213150835255,High
203,37.84698697712179,High
951,39.12048302349259,Medium
353,38.88247696200502,Low
326,37.236389131094334,Low
211,36.211239486078256,Medium
609,38.583634265385164,Medium
572,37.34279963640712,Medium
198,35.73486783958516,Medium
252,40.00317945131326,High
960,38.840121431164754,Low
995,38.795465869141566,High
977,39.56991042173152,Low
437,37.94256488141712,Low
805,39.528080157791436,Medium
921,37.76717085283892,High
262,35.37319666619839,Medium
819,37.251378266820495,High
780,37.76369385544384,Low
260,39.00112545351275,Medium
679,35.592104056270415,Medium
900,35.77788077033583,Low
497,36.46491001463676,Low
376,36.48054662983824,Low
915,39.067692102550346,Medium
603,36.3929481142311,High
995,38.51721146309693,Medium
491,37.74596583410151,High
234,38.184968767663335,Medium
294,39.65614979543498,Medium
500,37.246563897494575,Low
739,39.28284098369039,High
132,37.344644775281594,Medium
787,36.965952092006944,Medium
559,40.32570654062901,Low
982,36.024282892660906,Low
569,35.50187200320894,High
474,39.28325514186377,Medium
121,35.379165029744954,High
849,39.650438837239044,Medium
769,37.42885220198468,High
137,40.08618709606619,Low
329,39.00851589512169,Medium
464,38.3911370389331,High
662,40.273926650320924,Low
537,37.20360762806697,Low
875,40.30048298077574,High
382,35.750007096784486,Medium
126,37.687527455180074,Medium
325,36.499506791067745,Low
376,37.999126549489965,Medium
897,35.90007709939769,Medium
708,39.67516477950024,Medium
383,39.70226582952532,Low
978,40.306868404019326,High
580,35.859289671573535,Medium
552,38.462958616138835,Low
928,37.63465171500205,Low
915,36.91324295580129,High
758,36.95300089519011,Medium
615,37.293297503370844,Medium
646,38.91625305382752,High
291,38.323811434823085,High
148,37.553786182006284,Low
611,35.421852279831235,Low
116,35.432029689327535,High
271,35.01299661458765,Medium
319,40.376107712261586,Low
257,35.02918788087992,Low
576,35.572743033409694,Medium
145,36.74775864894117,Low
472,39.48572362120423,Medium
617,40.344993254245104,Medium
198,39.388964215510306,Medium
991,38.83644573580912,High
844,37.89611481896428,High
136,35.48169562145657,High
379,40.32317107224406,Medium
448,39.21329118858712,Medium
596,38.54971880741257,High
401,39.21686580854916,Low
280,39.02279627373966,Medium
706,38.54017544327493,Low
198,40.447648889888825,Low
799,40.018687847977915,Medium
215,38.59258288398424,Medium
290,38.850973396982916,Low
352,35.286643370326175,Low
260,38.721763691944666,High
355,35.24536354283389,High
422,38.268131983166285,Medium
227,40.55196388647686,High
117,38.08781434131767,High
892,37.62894510045185,High
834,36.73808253614216,High
665,35.66956988214703,Low
669,39.06124261921267,Medium
422,36.06999459880905,High
971,35.64045567359603,Low
785,37.343125887391736,Low
891,39.41856576643943,Low
725,39.13924748955677,High
387,35.304903414702636,High
953,37.52857602797865,Medium
762,37.90241431150649,High
738,38.580814725699014,High
254,38.61204083579571,Low
589,37.02609583031837,Medium
485,38.114873300019525,High
884,37.67256602135603,High
203,39.91665753624045,Low
492,37.945917403527226,Low
910,37.45017867637867,High
345,37.24714138712139,Medium
275,38.18015421907481,Medium
138,39.46653877444943,Low
576,37.99111939100438,Low
781,38.675862083780785,High
858,39.099198705036244,Low
637,37.889822832659625,High
966,37.371205870304806,Medium
917,39.87036321034694,Medium
507,37.319478244599395,High
624,37.566349169864374,Low
927,40.50189618523209,Medium
605,35.00131957542158,Low
924,36.030405053204014,Medium
135,37.133132721776256,High
784,40.18105505236252,High
119,35.389053920819286,High
420,35.05269685349165,Medium
875,35.29268797765127,Low
611,35.49190783674233,Low
499,35.208870962257,Low
753,37.665451815869474,Medium
982,38.22642892904071,Medium
570,36.509372061494474,Medium
242,37.212707688753525,Medium
191,35.509440750619056,Medium
453,36.86872479904679,Low
933,37.90288439796958,Medium
899,39.06817670658136,Medium
826,35.01859090023876,Low
953,37.59617092520918,Medium
150,36.65001598030491,Low
764,39.737899009399456,Low
797,38.975296195745784,High
674,38.27282519150497,High
289,36.540364698315415,High
224,40.0574394558752,High
249,35.25055931789068,Medium
413,35.608153325995076,High
669,37.17572300300198,Low
441,35.691319762760315,Medium
404,40.313420541996805,High
791,39.433274011907685,Low
781,36.43879250889896,Medium
937,38.26974571651803,Medium
882,40.4573917504449,High
153,39.91221654517501,Medium
543,38.337769146901095,Low
712,40.02068870652928,Medium
363,40.49547172118533,Low
152,39.12973790496457,Medium
671,35.3610356082383,High
719,37.231001313474934,Low
104,39.654587418240254,Medium
202,36.280939976694555,Medium
295,39.61468065417014,Medium
873,35.668548677972204,Low
976,35.26080753971007,Low
983,37.13383673050694,Low
449,35.20406631903674,High
146,40.31816812768514,High
966,39.59003164329981,Low
922,39.44872048405486,Medium
919,38.49876623886752,High
755,36.20180012798085,Low
368,37.8792242593133,Medium
469,38.31818929127967,High
735,37.91684167144594,Medium
205,36.44574093306404,Medium
769,37.86248846841514,Medium
758,37.728813004825696,Medium
756,40.5351987544818,High
219,39.985756378034466,High
930,37.574337490086776,High
886,38.460763238528436,Low
703,39.154842244956825,High
157,35.19369533463236,Medium
445,39.971785784599106,High
840,39.77848231343291,Medium
573,37.541289432076155,Low
216,37.17316536711322,Medium
929,36.516440971423975,Medium
890,37.64820460183538,Medium
226,35.246537019629095,Low
492,39.73440851859449,High
740,35.19679093565858,High
157,36.828063140943726,Low
733,40.175497157327726,Medium
612,39.084514747352515,High
850,36.563283114319596,Low
901,36.40360607756047,High
195,35.02823411010014,Low
737,38.86507940472083,Medium
217,35.27101989818429,High
659,37.958902885559795,Low
700,40.34512206995583,High
587,35.60816033363586,High
336,39.96933294982259,High
984,40.508196306361384,High
996,35.34176125688464,Low
371,39.90503482854145,Medium
288,37.867105669131206,Low
803,40.036187330247664,Low
546,38.17399412177541,Low
680,38.67840005614758,Medium
889,38.020993933318884,High
960,39.80273822392971,High
346,39.07727732752057,High
175,37.895890623224524,Medium
253,39.82311557806415,High
755,36.36269740141852,Medium
534,35.87411477612514,High
185,35.89111169627818,High
796,36.855604881917984,Low
384,36.3260557294501,Medium
319,40.16716861394299,Low
168,35.58796718793658,Low
146,38.88328187799771,Low
193,36.05123077658337,Medium
849,39.89798407094639,Medium
552,40.340640489916154,High
303,37.58594449316658,Low
317,39.88373044571184,High
573,35.02858428197064,Low
531,39.55526065226722,Medium
440,36.27013978624958,Medium
650,40.04834060705204,Medium
711,35.006222841556166,Low
388,38.089898527998656,Medium
353,39.20353224324963,Low
833,36.43715739276615,High
456,36.072960358818285,Low
122,35.46721235815547,High
861,36.81351986946274,Low
621,38.11024617949349,High
857,35.64357698211254,Medium
936,37.092752011037774,High
199,35.0504022480707,Medium
901,39.548219002776904,Medium
279,35.71360398940662,High
322,36.57412749036434,Low
861,35.102376215212324,Low
758,37.40133768829174,Low
541,39.667341681895664,Low
707,37.178617841362204,Low
868,35.99720735235463,Medium
424,39.18721574472511,Low
615,39.38226101039302,Medium
115,35.96529708504204,Medium
891,39.28252282522773,Medium
435,40.262766045868545,High
858,35.92431992740151,High
357,39.283246069622976,Medium
596,38.936511136681276,High
995,37.6309660468616,Low
259,35.32178033643777,Low
574,35.41496898754363,Medium
951,39.73563699554805,Low
763,40.50082429305915,Medium
789,38.755845873259744,Medium
774,37.47754615005734,Low
479,38.59763135223281,High
644,38.30219921793636,Low
790,37.13117922447567,Low
526,35.36458969207785,Medium
712,39.56396081893023,Medium
367,37.06574182910403,Medium
934,39.54880912976163,Medium
676,36.40282638715768,High
516,35.00571933247574,High
267,35.88299046264865,High
941,37.602996759825466,Medium
142,40.24613130532127,Medium
655,35.56774233163177,Medium
384,39.74560985811981,High
496,37.92791164562146,Medium
111,39.588448698888314,Low
706,36.65763572772218,Low
401,39.666373137069286,Medium
997,39.29345988898225,Low
352,36.278076016841304,Low
598,35.72963959116321,High
853,39.8225240140683,Medium
134,40.35131474133406,Medium
826,35.17390174304175,High
948,39.06261148318714,Low
189,40.0529139497101,Low
875,39.763111622736105,Medium
704,40.35844706816783,Low
701,39.22274488021165,High
517,37.457215346560616,High
214,36.73306661386184,Medium
716,36.78190411354515,High
295,39.02457040341176,High
925,39.14353895572757,Medium
600,36.1131063530484,High
725,39.82290451939184,High
592,38.97180022334582,High
174,38.12639047968546,Low
512,37.619624778347294,Medium
475,38.01796003216643,Medium
519,35.88469854599592,Medium
828,36.13167360709041,Low
376,35.50646939114551,Low
860,35.85365576756174,Medium
775,37.52052019225157,Low
493,37.946413298490306,Medium
968,35.09923273599067,Low
556,39.42665459924459,High
291,36.63426651857488,High
838,40.06575574977729,Medium
788,40.3750625756321,Low
198,36.03032708153697,Low
647,37.56720717092034,High
195,35.00684352870237,High
763,38.32404036179126,Low
762,38.37392471257039,Low
289,36.375221975574306,Low
835,38.10229262546221,Low
136,36.25300079135408,Low
879,35.89347482821217,Low
468,38.619552593345915,Medium
794,36.810697021955974,Low
624,38.27924410492013,High
378,37.406926383175865,Medium
316,40.468618930016135,Low
966,35.831003570375366,High
972,37.58110331464339,Medium
897,38.78031459088514,High
