ECG,Temperature,Stress Level
302,35.90250134662117,Low Stress
635,38.56478429211281,Medium Stress
548,37.28534513978613,Medium Stress
470,40.81948638688762,High Stress
306,40.05271353881425,High Stress
271,40.02997222826683,High Stress
388,37.81215895876982,Medium Stress
220,37.48891701402599,Medium Stress
302,36.64044243158424,Low Stress
321,35.33825297990556,Low Stress
666,40.18833425753032,High Stress
414,39.877406054780465,High Stress
530,40.99830603971678,High Stress
658,40.97982102244343,High Stress
287,38.33259023361576,Medium Stress
572,39.61392449108306,High Stress
299,40.66859437929457,High Stress
559,40.09788434406447,High Stress
351,36.48408861045919,Low Stress
330,37.703264811860564,Medium Stress
349,35.77495649090897,Low Stress
508,40.724306163552335,High Stress
457,38.63704780670528,Medium Stress
543,36.37185683302078,Low Stress
691,39.03020410643514,High Stress
613,38.708769442747375,Medium Stress
493,37.14897630819704,Medium Stress
585,35.68134555319777,Low Stress
391,39.029439173556796,High Stress
643,38.12184620542276,Medium Stress
476,39.633910350413835,High Stress
360,38.12098100667196,Medium Stress
659,40.11308900191124,High Stress
513,38.31144103264691,Medium Stress
221,38.365627829212315,Medium Stress
452,40.25992161595007,High Stress
435,37.420897197274385,Medium Stress
544,35.804091370703844,Low Stress
248,35.17269605788003,Low Stress
674,39.530823534041716,High Stress
258,38.72185730812079,Medium Stress
369,39.22447860859534,High Stress
675,36.277784969053464,Low Stress
387,35.818228853520615,Low Stress
663,35.08726799400729,Low Stress
470,37.10352535283958,Medium Stress
389,38.5395061211278,Medium Stress
645,37.353464270598394,Medium Stress
374,37.62484953214238,Medium Stress
645,40.42495216696249,High Stress
250,37.0895328021398,Medium Stress
563,38.083936934958864,Medium Stress
254,39.70191807644686,High Stress
443,37.37925669392762,Medium Stress
519,38.732520201367244,Medium Stress
330,40.17418225248047,High Stress
684,40.69712374194585,High Stress
506,35.882440885574226,Low Stress
334,40.559525750968966,High Stress
220,37.95269775847723,Medium Stress
528,36.54946632979375,Low Stress
366,37.75481453742957,Medium Stress
473,40.880195451712865,High Stress
587,37.95570856395722,Medium Stress
288,36.97250966172505,Low Stress
515,38.800405125900355,Medium Stress
213,36.44087371266916,Low Stress
441,35.45517996865198,Low Stress
464,35.77327833146389,Low Stress
545,35.76827503374663,Low Stress
252,35.91141616107377,Low Stress
585,35.83296303589646,Low Stress
539,38.845248468819285,Medium Stress
291,36.09128050639487,Low Stress
566,37.07400369994318,Medium Stress
643,40.38073045943607,High Stress
654,37.843769841577235,Medium Stress
627,39.00534643112616,High Stress
463,36.03391922720978,Low Stress
630,36.15373411285202,Low Stress
234,35.245211697598876,Low Stress
405,36.013610378432986,Low Stress
280,36.67154203419175,Low Stress
619,36.06206290566048,Low Stress
249,35.53221520254233,Low Stress
559,35.723815226603605,Low Stress
587,37.764672608196356,Medium Stress
201,36.23800231043475,Low Stress
589,37.185619166288454,Medium Stress
253,38.02050362512914,Medium Stress
305,39.14236897177619,High Stress
459,35.23587283904659,Low Stress
509,39.796462393454256,High Stress
676,38.767402336945445,Medium Stress
390,35.490554191693235,Low Stress
601,40.24147174464066,High Stress
417,40.52523440319088,High Stress
243,35.36646775912918,Low Stress
361,36.66126588888322,Low Stress
401,39.83720767875837,High Stress
645,39.48955814230195,High Stress
683,36.10712611613826,Low Stress
469,36.25609594002026,Low Stress
550,37.22283261674829,Medium Stress
503,37.90713791114613,Medium Stress
470,38.709528629181776,Medium Stress
655,37.213481837418634,Medium Stress
661,37.77520829679889,Medium Stress
414,39.48482562880254,High Stress
451,35.22009921734359,Low Stress
389,36.51462166606412,Low Stress
495,39.28009751530732,High Stress
412,40.371241026123194,High Stress
407,38.070064652694,Medium Stress
436,38.19268091159189,Medium Stress
537,35.64303206803866,Low Stress
566,37.68447420094073,Medium Stress
252,38.19570359873014,Medium Stress
479,36.45482302180838,Low Stress
609,36.61545938569628,Low Stress
416,37.263704978627736,Medium Stress
451,35.12042718666636,Low Stress
387,36.93247499349907,Low Stress
579,36.26868804197927,Low Stress
692,36.96498411306749,Low Stress
240,35.71857279091551,Low Stress
356,40.34316368443937,High Stress
214,38.56155472132429,Medium Stress
500,39.07461391486694,High Stress
264,39.73502743164403,High Stress
544,37.990653193574346,Medium Stress
526,35.52152172852454,Low Stress
208,38.222639250911286,Medium Stress
543,38.521046708125276,Medium Stress
328,39.47263684510598,High Stress
691,37.589957277378076,Medium Stress
335,35.76548181677338,Low Stress
671,36.70265543479235,Low Stress
262,37.17849377839181,Medium Stress
338,38.87550344798961,Medium Stress
698,38.42466982801347,Medium Stress
280,37.136580355387075,Medium Stress
591,40.91909149275788,High Stress
362,38.63464891614132,Medium Stress
618,36.423360750415966,Low Stress
488,35.61069483572242,Low Stress
578,35.91715483510599,Low Stress
460,36.47574637030705,Low Stress
689,35.964088239557334,Low Stress
430,36.119402144307834,Low Stress
240,36.71057101216308,Low Stress
227,36.040241571768526,Low Stress
334,40.38059254775855,High Stress
400,35.48140247396985,Low Stress
527,38.14706833742153,Medium Stress
467,37.46238096193797,Medium Stress
617,40.894271701451636,High Stress
232,35.672233413008314,Low Stress
247,37.38713359427445,Medium Stress
606,40.81682259965221,High Stress
261,40.193042755363884,High Stress
415,39.90243242569568,High Stress
492,36.54741696226964,Low Stress
298,36.025325524340396,Low Stress
371,39.01185931954659,High Stress
559,40.57625593476551,High Stress
413,38.34057735808358,Medium Stress
674,38.429676136819396,Medium Stress
234,36.679874561961704,Low Stress
648,39.61695759915162,High Stress
426,36.12226249134514,Low Stress
300,36.94207541842546,Low Stress
630,37.5526186316985,Medium Stress
661,38.04566227210673,Medium Stress
330,36.45445839449048,Low Stress
456,35.68902094843522,Low Stress
204,38.663720254649796,Medium Stress
417,36.73178331944153,Low Stress
454,38.487429328535676,Medium Stress
597,35.92617629164521,Low Stress
558,37.8868406111289,Medium Stress
482,38.19553659530951,Medium Stress
592,35.31094122093456,Low Stress
406,37.019625669163524,Medium Stress
214,35.80648806163384,Low Stress
545,35.3802498228366,Low Stress
241,40.93976139433967,High Stress
579,36.93412306984834,Low Stress
660,39.85924667512781,High Stress
378,36.527843928582584,Low Stress
262,39.08901633334358,High Stress
551,39.56136715933812,High Stress
430,38.57383244364706,Medium Stress
440,37.82945713130095,Medium Stress
251,37.47104548488361,Medium Stress
295,37.093209599257975,Medium Stress
587,40.57717486548695,High Stress
421,39.983716446726376,High Stress
684,40.79016146399908,High Stress
606,35.74578334091327,Low Stress
430,39.385204851221864,High Stress
436,40.63004274092623,High Stress
342,36.08739839699396,Low Stress
