Temperature,ECG,Stress Level
25.2,133,Low
29.3,111,Low
26.9,107,Low
29.1,131,Low
29.6,144,Low
28.7,119,Low
28.9,134,Low
25.2,107,Low
26.6,115,Low
29.9,102,Low
29.1,101,Low
27.4,107,Low
27.7,120,Low
26.2,117,Low
27.9,113,Low
29.5,143,Low
30.0,111,Low
28.4,147,Low
28.7,122,Low
25.9,124,Low
26.4,134,Low
27.2,142,Low
29.9,113,Low
27.5,136,Low
26.9,105,Low
29.8,128,Low
28.5,102,Low
27.2,126,Low
26.0,128,Low
28.7,127,Low
25.5,104,Low
29.2,131,Low
28.1,120,Low
28.6,132,Low
28.6,122,Low
28.7,109,Low
28.6,116,Low
28.5,107,Low
26.1,107,Low
27.0,102,Low
27.1,119,Low
25.4,117,Low
27.4,132,Low
29.4,137,Low
27.9,111,Low
29.5,125,Low
26.2,116,Low
30.0,143,Low
29.2,119,Low
29.3,148,Low
26.2,136,Low
25.1,132,Low
25.4,127,Low
29.6,147,Low
28.5,142,Low
26.1,121,Low
25.2,124,Low
26.4,139,Low
28.6,143,Low
29.1,132,Low
27.1,107,Low
25.7,108,Low
28.7,107,Low
27.0,150,Low
25.0,126,Low
26.6,132,Low
26.2,141,Low
26.1,130,Low
28.9,131,Low
25.9,143,Low
27.9,148,Low
26.5,129,Low
28.7,124,Low
25.6,145,Low
29.7,124,Low
29.6,112,Low
30.0,150,Low
25.6,140,Low
26.5,102,Low
26.4,104,Low
28.8,141,Low
27.9,115,Low
28.5,130,Low
28.7,102,Low
28.0,127,Low
25.7,113,Low
27.1,109,Low
29.4,121,Low
25.1,144,Low
25.9,101,Low
28.5,103,Low
28.1,117,Low
25.0,118,Low
27.1,106,Low
26.7,118,Low
28.9,112,Low
28.7,138,Low
30.0,126,Low
25.7,107,Low
27.2,108,Low
27.7,101,Low
29.6,112,Low
27.1,145,Low
26.2,136,Low
26.1,150,Low
30.0,100,Low
28.8,142,Low
28.1,126,Low
28.2,128,Low
29.4,120,Low
27.4,131,Low
29.2,109,Low
26.3,132,Low
28.2,104,Low
26.5,131,Low
29.4,109,Low
25.8,130,Low
29.5,122,Low
28.6,107,Low
29.9,148,Low
28.8,108,Low
27.7,143,Low
25.9,149,Low
25.6,144,Low
29.5,137,Low
26.8,117,Low
26.7,137,Low
27.3,126,Low
27.4,144,Low
26.3,113,Low
25.9,128,Low
26.8,147,Low
27.4,142,Low
26.7,145,Low
28.7,114,Low
26.7,118,Low
28.3,106,Low
27.9,112,Low
28.8,100,Low
27.6,133,Low
27.8,130,Low
26.4,133,Low
25.8,116,Low
29.5,149,Low
27.1,131,Low
26.6,110,Low
26.0,149,Low
25.9,146,Low
28.7,139,Low
25.9,118,Low
28.6,133,Low
25.2,113,Low
26.1,121,Low
25.0,119,Low
29.3,130,Low
26.2,148,Low
28.2,131,Low
29.7,120,Low
26.2,114,Low
27.0,148,Low
29.0,115,Low
26.2,134,Low
25.8,148,Low
28.1,146,Low
26.2,120,Low
29.2,103,Low
28.2,135,Low
28.4,104,Low
25.1,141,Low
26.3,119,Low
29.9,111,Low
25.0,101,Low
28.6,130,Low
25.9,147,Low
28.3,139,Low
29.3,146,Low
27.8,116,Low
29.0,100,Low
28.3,130,Low
27.2,105,Low
29.2,132,Low
25.5,119,Low
29.1,129,Low
25.6,149,Low
29.0,122,Low
29.9,124,Low
25.7,113,Low
26.0,105,Low
25.3,119,Low
27.1,143,Low
27.5,138,Low
25.6,136,Low
30.0,136,Low
28.1,146,Low
28.8,132,Low
28.5,110,Low
26.2,149,Low
25.7,127,Low
25.3,118,Low
29.2,142,Low
28.9,139,Low
26.6,133,Low
25.0,146,Low
28.6,105,Low
25.4,112,Low
27.1,102,Low
25.0,101,Low
26.9,101,Low
28.4,100,Low
26.7,121,Low
26.0,131,Low
30.0,147,Low
26.1,122,Low
25.2,118,Low
29.8,131,Low
27.0,105,Low
26.0,147,Low
25.8,122,Low
25.9,100,Low
26.3,150,Low
28.8,147,Low
28.4,139,Low
28.4,110,Low
29.1,120,Low
26.1,139,Low
25.8,132,Low
29.2,115,Low
28.9,147,Low
28.2,130,Low
27.0,109,Low
27.3,115,Low
25.3,116,Low
26.1,116,Low
26.9,145,Low
28.5,135,Low
28.6,117,Low
25.2,147,Low
29.3,149,Low
29.0,141,Low
29.1,114,Low
27.4,117,Low
25.9,128,Low
27.2,112,Low
28.4,102,Low
26.3,138,Low
26.8,114,Low
26.5,150,Low
28.4,118,Low
28.9,146,Low
29.0,140,Low
28.3,121,Low
26.0,104,Low
26.5,117,Low
25.4,125,Low
29.8,146,Low
30.0,140,Low
28.1,140,Low
26.7,104,Low
26.1,110,Low
29.0,118,Low
25.4,110,Low
28.4,134,Low
29.2,118,Low
27.9,137,Low
28.0,122,Low
